batch_no,created_date,customer,due_date,file_name,file_stem,import_line_description,import_requires_job_sheet,item,item_code,job_sheet_id,line_index,match_reasons,match_score,match_status,myob_item_number,notes,order_code,order_id,order_item_id,print_type,roll_type,sheet_name,total_kgs,total_mts,total_rolls
949576,2025-06-18,ELLISON HORTICULTURAL,,CF1000(2000)200050.xlsx,CF1000(2000)200050,CFR1000(2000)20050UV - L/D NATURAL CENTREFOLD WITH UV 1000(2000) X 200MTS X 50UM;$/ROLL (UOM = ROLL),True,CFR1000(2000)50UV0,200M,8d726914-d2e6-4706-af4d-d3b59a775226,0,"customer_exact,item_code_found_in_description,qty_rolls_close_1pct,line_requires_job_sheet",93.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,949576,678cfad7-913f-4bc4-8b65-2f6a2404bcc0,b7e1d5bd-28bb-44be-8a9b-e31ac8e40e41,None,Cont Centrefold,Sheet1,185.0,2000.0,10.0
949214,2025-06-24,NSI AUSTRALIA,2025-02-17,CF300(600)25 NSI.xlsx,CF300(600)25 NSI,CF300(600)450M/25UM - NATURAL CENTREFOLD 300(600) X 450M X 25 UM;6.25KG/ROLL;$/ROLL (UOM = ea),True,CFR300(600)25,450M,f720ba43-8415-4a1f-a4b9-37dfe18c80fb,0,"customer_exact,item_code_matches_description_token,qty_rolls_close_1pct,desc_overlap_medium,line_requires_job_sheet",135.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,949214,8ae8846c-a09c-4ab6-a31c-298a88c3033e,28da54e4-ea45-4b94-b527-17b12a93ccb4,None,Cont Centrefold,Sheet1,75.0,5400.0,12.0
951184,2026-03-02,DAY WALK,,CFR1180(2360)150UVSHRINK - 65M.xlsx,CFR1180(2360)150UVSHRINK - 65M,CF1180(2360)60150UVPSHRINK - LD NATURAL SHRINK CENTREFOLD WITH UV ADDITIVE 1180(2360) X 65M X 150UM ; 20KG/ROLL ; $/ROLL (UOM = ROLL),True,CFR1180(2360)140UV,65M,a31b7bde-ab87-4097-ba5c-d49442e81ee4,0,"item_code_matches_description_token,qty_rolls_close_1pct,desc_overlap_medium,line_requires_job_sheet",100.0,matched,,SHRINK CENTREFOLD - MUST HAVE UV - MUST BE EXACT OR CUSTOMER WILL REJECT - NO UNDERS PRINT DAYWALK,949805,eafb0f13-74f4-4ece-a3be-dbb0b0c538ce,48024ce1-6235-40da-b543-acbe6275b0e5,Random Print,Cont Centrefold,Sheet1,596.5555555555555,1950.0,30.0
57843,2024-11-15,ARCPANEL,,CFR625(1250)50 - ARCPANEL.xlsx,CFR625(1250)50 - ARCPANEL,CF625(1250)50BT REMIL (26KG) - L/D BLUE TINT CENTREFOLD 625(1250) X 450M X 50UM;26KG/ROLL;$/ROLL (UOM = ROLL),True,CFR625(1250)500,450M,510455eb-e12b-4135-84a8-5de91d1e710b,0,"customer_exact,item_code_matches_description_token,line_requires_job_sheet",103.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,944007,f63d5f67-e94b-4b05-9441-d14835a5612a,25d4a8f9-be7d-4995-b68e-64bba4e84c12,None,Cont Centrefold,Sheet1,260.4166666666667,4500.0,10.0
944090,2022-08-25,KELCRETE,,CFR625(1250)50 - KELCRETE.xlsx,CFR625(1250)50 - KELCRETE,CF625(1250)50REMILL (26kilogram (kg)) - L/D 50% REMILL CENTREFOLD 625(1250)MM X 449M X 50UM 26kilogram (kg)/ROLL  $PER ROLL (UOM = ROLL)   - (Customer Part # .),True,CFR625(1250)50,449M,40bba3b9-7388-457f-9460-69539e674cce,0,"customer_partial,item_code_matches_description_token,qty_rolls_close_1pct,line_requires_job_sheet",108.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,944090,91f2cd57-dee2-4d20-80b2-acac6de94b37,aa602236-bb3d-43ae-b3d4-41293a914c63,None,Cont Centrefold,Sheet1,415.74074074074076,7184.0,16.0
946372,2024-04-04,DAYWALK,2023-09-20,CFR840(1680)168045BK - 12-PTS168045B.xlsx,CFR840(1680)168045BK - 12-PTS168045B,CFR840(1680)168045BK - LD BLACK TOP SHEET (PALLET CAP) 840(1680) X 1680 X 45UM ; 200/ROLL ; $/ROLL (UOM = ROLL)   - (Customer Part # 12-PTS1680/45B),True,CFR840(1680)168045BK0,12-PTS1680/45B,ede3ee15-e117-4e6a-bd90-7346372fe980,0,"customer_exact,item_code_found_in_description,qty_rolls_close_1pct,desc_overlap_medium,line_requires_job_sheet",105.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,946372,49d1fcf0-7b26-4bdc-acad-1bc826e1d6d3,6fef1860-a26b-41ab-ab98-e1996f57d95a,None,,Sheet1,558.8352000000001,7983.360000000001,22.0
938822,2020-10-30,DAYWALK,2020-12-11,CFR840(1680)168045P - 12-PTS168045B.xlsx,CFR840(1680)168045P - 12-PTS168045B,"CFR840(1680)168025P - 12-PTS1680/25- L/D NATURALTOP SHEET PRINTED ""DAYWALK"" 840MM(1680MM) X 1680MM X 25UM 250/BOR $/ROLL (UOM = ROLL)",True,CFR840(1680)168025BKUVP,12-PTS1680/25,175533b8-abdf-42c9-89f0-7b3822da3036,0,"customer_exact,item_code_found_in_description,qty_rolls_close_1pct,desc_overlap_medium,line_requires_job_sheet",105.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,945032,cfde6d34-74df-4ab1-9502-7b28f6ed95cb,2551d124-f563-41dd-9ea5-b3adfe33e111,Random Print,,Sheet1,529.2,11340.0,50.0
57964,2025-10-15,TRIPLE M,2025-06-03,PB100150100 - QPB02.xlsx,PB100150100 - QPB02,PB100150100 QPB02 - QPB02: LD NATURAL POLYBAG 100MM X 150MM X 100UM ; 1000/CTN (UOM = CTN)   - (Customer Part # 2PBPSD),True,PB1001501000,QPB02,b39c8010-bffb-4efa-88c2-a469003ae798,0,"customer_partial,item_code_matches_description_second_token,qty_rolls_close_1pct,line_requires_job_sheet",158.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,947056,89814532-f5df-47e2-9a82-6dbccf3e3752,1badbb57-d4b9-45ff-b1c9-4f385caaabae,None,,Sheet1,150.0,8100.000000000001,12.0
943741,2022-08-22,METRO SOUTH,,PB100300100Y.xlsx,PB100300100Y,PB100300100Y - L/D YELLOW POLY BAG 100MM X 300MM X 100UM;2000/CTN;$/CTN (UOM = CTN),True,PB100300100Y,Batch No,ca2fefc9-1533-4642-be6e-c74037703b68,0,"customer_partial,item_matches_description_prefix,qty_rolls_close_1pct,line_requires_job_sheet",178.0,matched,,NEW ITEM - MUST HAVE WATER TIGHT SEALS - PLEASE CHECK FREQUENTLY - MUST BE SOLID YELLOW,943741,2c7eb671-69da-42eb-877b-5f570295cb51,dfaddc75-3cd2-4f4a-90f1-4f3abd32d97d,None,,Sheet1,24.0,1296.0,2.0
945773,2023-05-30,ULTRA CORAL,2023-06-26,PB10035050 - HALF BAG.xlsx,PB10035050 - HALF BAG,PB10035050 - #1/2 BAG - #1/2 BAG - NLD NATURAL POLY BAG 100MM X 350MM X 50UM; $/1000 (UOM = THOU),True,PB10035050,Batch No,718537b3-4e4d-4cf1-a3f6-c2d2499de1d2,0,"customer_partial,item_matches_description_prefix,line_requires_job_sheet",158.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,945773,ee523197-50cb-4256-abb0-7ac2a7c2e19e,c54dc7d3-ac0b-4b6b-8899-9991f2779f79,None,,Sheet1,42.00000000000001,4536.0,4.0
946853,2025-08-27,BARRIER REEF,,PB100475100 - HALF BAG.xlsx,PB100475100 - HALF BAG,PB13039050 - L/D NATURAL POLY BAG 130MM X 390MM X 50UM;$/THOU (UOM = THOU),True,PB13039050,Batch No,3ee3e468-0565-4b6b-9ecc-1e7c0930c51f,1,"customer_partial,item_matches_description_prefix,line_requires_job_sheet",158.0,matched,,BAG MUST NOT BE OVER 95MM - LIVE FISH TRANSPORT - MUST HAVE WATERTIGHT SEALS,950156,7949acf4-51c4-4c28-a9b8-831f539f69e7,517e4e2a-2e93-477c-b659-1544b7029c4d,None,,Sheet1,126.75000000000001,10530.0,12.0
943037,2022-05-10,METRO NORTH,,PB1060G69030UNPRINTED.xlsx,PB1060G69030UNPRINTED,PB1060G69030 - L/D NATURAL POLY BAG 1060GMM X 690MM X 30UM;200/CTN;$/CTN (UOM = CTN),True,PB1060G69030,Batch No,0d0ec33c-2910-4c8a-94e2-09b1bacc4d44,0,"customer_partial,item_matches_description_prefix,line_requires_job_sheet",158.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,943037,33f3c4e9-f2d1-4703-867d-164132351f33,8c1b7932-da83-4d22-99fa-a40126bec977,None,,Sheet1,175.536,2980.8,4.0
56464,2022-02-08,MATER TOWNSVILLE,,PB1140G147038BK -270415.xlsx,PB1140G147038BK -270415,PB1140G147038BK 270415 - 270415: 240 LITRE BLACK POLYBAGS 1140 GUSSET X 1470MM X 38UM  100/CTN  $PER CTN.. (UOM = CTN)   - (Customer Part # .),True,PB1140G147038BK,270415,1e0cac02-33ca-422f-8bbe-bf469c2c4bb2,0,"item_matches_description_prefix,item_code_matches_description_second_token,line_requires_job_sheet",248.0,matched,,"BAGS MUST STRETCH, NOT SPLIT AND BE EASY TO OPEN OR CUSTOMER WILL COMPLAIN -",951332,2994ee5d-c974-43b8-a327-edef9dd7f50c,7c215f45-67bc-440a-a131-be4ae57dc40d,Treating,,Sheet1,1273.6079999999997,15876.000000000002,30.0
945773,2023-05-30,ULTRA CORAL AUSTRALIA,2023-06-26,PB120475100 - #1 BAG.xlsx,PB120475100 - #1 BAG,"PB120475100 - #1 BAG - LD NATURAL POLY BAG 120MM X 475MM X 100UM ; 1000/CARTON ; $/1000 (MOQ 10,000) (UOM = THOU)   - (Customer Part # #1 BAG)",True,PB120475100,#1 BAG,d22a81d9-0680-4eac-a6a9-0a95ae8d26c5,1,"customer_exact,item_matches_description_prefix,item_code_found_in_description,line_requires_job_sheet",203.0,matched,,MUST BE WITHIN TOLERANCE - MUST HAVE WATER TIGHT SEALS - PLEASE CHECK SEALS FREQUENTLY.,945773,ee523197-50cb-4256-abb0-7ac2a7c2e19e,2d73a605-908b-46ce-891a-13d3ec6a3ee0,None,,Sheet1,91.2,4104.0,8.0
944203,2022-09-29,AUS FISH CORAL,,PB12532550.xlsx,PB12532550,PB12530050 - L/D NATURAL POLY BAG 125MM X 300MM X 50UM; $/1000; 5000/CTN (UOM = THOU),True,PB12530050,Batch No,468364ee-5118-45ac-b95e-c49c43795f65,0,"customer_partial,item_matches_description_prefix,line_requires_job_sheet",158.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,944203,52e50075-8530-418b-9cf0-f1aee4dd008f,f3cfa0c0-cb22-4a6a-979d-988904c73902,None,,Sheet1,75.00000000000001,6480.0,6.0
947761,2024-05-01,GREAT BARRIER REEF,2024-05-22,PB12535050 - BAG #1.xlsx,PB12535050 - BAG #1,"PB12535050-#1 BAG - L/D NATURAL POLY BAG 125MM  X  350MM X 50UM 2000/CTN PRICE PER 1,000 (UOM = THOU)",True,PB12535050,BAG #1,5e04e9bc-d2a2-44a5-a1be-ff9d701bdeb9,0,"customer_partial,item_matches_description_prefix,item_code_found_in_description,line_requires_job_sheet",188.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,947761,b2ecd708-fd3d-4ee8-88bf-a82ffedf5efb,393aefa4-2f17-46db-9809-f549559f407c,None,,Sheet1,70.0,6048.0,7.0
940473,2021-06-07,CORALS DOWN UNDER,2021-06-28,PB12540075.xlsx,PB12540075,PB12540075 - L/D NATURAL POLY BAG 125MM X 400MM X 75UM 2000/CTN $/THOU (UOM = THOU)   - (Customer Part # POLY BAG),True,PB12540075,Batch No,51075e0a-9652-41d1-885e-7fa546eefbc4,2,"customer_partial,item_matches_description_prefix,qty_rolls_close_5pct,line_requires_job_sheet",168.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,946853,d2bbe3f9-7138-4dc5-88d2-58d88739316d,64d97e67-2e94-4504-a6a5-e9917665ab42,None,,Sheet1,300.00000000000006,17280.0,30.0
944738,2022-12-14,BARRIER REEF CORALS,2023-01-14,PB14019535.xlsx,PB14019535,PB13540050 - L/D NATURAL POLY BAG 135MM X 400MM X 50UM;$/THOU (UOM = THOU),True,PB13540050,Batch No,fe046166-304c-475c-a5fb-01f7240c006c,0,"customer_exact,item_matches_description_prefix,line_requires_job_sheet",173.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,944738,e018be4e-7530-41a4-9812-e753fc9bebed,0015eeb4-6f17-49a0-9fcb-e2fb84d4b91b,None,,Sheet1,135.0,10800.0,12.0
942645,2022-02-21,PRIME FISH AUS,2022-03-16,PB145430100 GEL PACKS.xlsx,PB145430100 GEL PACKS,PB145430100 - L/D NATURAL POLY BAG (GEL PACK) 145MM X 430MM X 100UM 1000/CTN $/1000 (UOM = THOU),True,PB145430100,GEL PACK,befb0a5d-7163-4c9e-98a8-55e98489f13b,0,"item_matches_description_prefix,item_code_found_in_description,line_requires_job_sheet",168.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,944377,6b84604a-5fbf-4e82-be99-0ec05533d66f,8ffdb85d-ac98-44be-a9e1-53ae837fee31,None,,Sheet1,124.7,4644.0,10.0
948478,2024-08-26,100% REEF SAFE,2024-09-16,PB15035050.xlsx,PB15035050,PB18033050 - L/D NATURAL POLY BAG 180MM X 330MM X 50UM 2000/CTN $/1000 (UOM = THOU),True,PB18033050,LINER,5e06d307-9efe-434b-87ed-1e59ce4474b4,1,"customer_exact,item_matches_description_prefix,line_requires_job_sheet",173.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,948478,330d6a0b-49cf-4ba4-967b-e19621a0b68e,3c5fad7c-ce91-4e00-a695-a996da94060d,None,,Sheet1,71.28,4276.8,6.0
945852,2023-06-14,CRAIG WINTER,2023-07-08,PB160150100 - SLEEVE #2.xlsx,PB160150100 - SLEEVE #2,PB160230100 - L/D NATURAL POLY BAG 160 X 230 X 100UM (UOM = THOU),True,PB160230100,Batch No,922a8990-befe-4531-8818-f891c6bea020,0,"customer_exact,item_matches_description_prefix,line_requires_job_sheet",173.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,945852,7a9167bc-fda8-469f-9383-d63529139f2e,b334cc35-fbd1-43c5-a86c-f08a42202cc1,None,,Sheet1,73.60000000000001,2484.0,5.0
947761,2024-06-05,GREAT BARRIER REEF,2024-05-22,PB16040050 - BAG #2.xlsx,PB16040050 - BAG #2,PB16040050- BAG#2 - (BAG 2) LD NATURAL POLY BAG 160MM X 400MM X 50UM ; 2500/CTN ; $/1000 ; (UOM = THOU)   - (Customer Part # .),True,PB16040050,BAG #2,69193e4a-cacc-4d9c-8c54-ba73c2070e4a,1,"customer_partial,item_matches_description_prefix,item_code_found_in_description,line_requires_job_sheet",188.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,947761,b2ecd708-fd3d-4ee8-88bf-a82ffedf5efb,e5892807-9e2e-4a41-8479-16a596675025,None,,Sheet1,80.00000000000001,5400.0,6.0
938195,2020-08-24,TINDALL DIVING,2020-09-24,PB18033050.xlsx,PB18033050,PB180350150 - L/D NATURAL POLY BAG 180MM X 350MM X 150UM $/1000 (UOM = THOU)   - (Customer Part # .),True,PB180350150,Batch No,46d9f23a-d419-4c0e-a199-9b0485bc292d,0,"customer_exact,item_matches_description_prefix,qty_rolls_close_1pct,line_requires_job_sheet",193.0,matched,,"MUST HAVE SOFT FILM - MUST HAVE WATER TIGHT SEALS, PLEASE CHECK FREQUENTLY.",951448,33e449a3-d00f-4e70-affd-1254416817aa,f639f47d-d406-4b83-9372-c763e273e2ca,None,,Sheet1,94.5,1890.0000000000002,5.0
939562,2021-03-22,CORALS DOWN UNDER,,PB18040075-CORALS DOWN UNDER.xlsx,PB18040075-CORALS DOWN UNDER,PB18040075 - 3 POUCH - L/D NATURAL POLY BAGS 180MM X 400MM X 75UM 3 POUCH $/1000 (UOM = THOU)   - (Customer Part # POLY BAG),True,PB18040075,#3 POUCH,26a1b892-74c2-48d0-9c2e-98608c47cfd5,6,"customer_partial,item_matches_description_prefix,item_code_found_in_description,line_requires_job_sheet",188.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,946853,d2bbe3f9-7138-4dc5-88d2-58d88739316d,f6c57ae2-00b3-4110-9cd1-98e419185087,None,,Sheet1,108.0,4320.0,6.0
951447,2026-02-05,GRUNSKES,,PB200330100.xlsx,PB200330100,PB20058070P - POLY BAG NATUAL 200MM X 580MM X 70UM PRINT ONE COLOUR PRINT;500/CTN;$/CTN (UOM = CTN),True,PB20058070P,Batch No,7bba9b2f-9cb3-4e60-aeb2-d1310d9dbce1,0,"customer_partial,item_matches_description_prefix,line_requires_job_sheet",158.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,951447,196133c5-64fb-4112-801b-b99ad58073a6,ea1c9b08-c5a9-4f4c-bd54-189a5ff74338,None,,Sheet1,81.19999999999999,3132.0,4.0
944912,2023-01-05,PAC FOODS,,PB20035025RT.xlsx,PB20035025RT,PB20035030RT-PACFOODS - LD RED TINT POLY BAG 200MM X 350MM X 30UM ; 3000/CTN ; $/1000 (UOM = THOU),True,PB20035030RT,Batch No,5457cbc7-c7e4-4e6a-99b1-53f949a30783,0,"item_matches_description_prefix,line_requires_job_sheet",138.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,944912,9ddc25b8-afc3-4c3f-a26f-48952c007470,93cbcc5a-6504-4577-9e8b-59e93253cf83,None,,Sheet1,214.20000000000002,19278.0,12.0
947761,2024-06-05,GREAT BARRIER REEF,2024-05-22,PB20045050 - BAG #3.xlsx,PB20045050 - BAG #3,PB20045050- BAG #3 - BAG #3 - LD NATURAL POLY BAG 200MM X 450MM X 50UM ; 2000/CTN ; $/1000 (UOM = THOU)   - (Customer Part # .),True,PB20045050,BAG #3,d93e3645-550e-4b7f-985a-b3c3e7024510,2,"customer_partial,item_matches_description_prefix,item_code_found_in_description,line_requires_job_sheet",188.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,947761,b2ecd708-fd3d-4ee8-88bf-a82ffedf5efb,9943c23b-ea60-4baf-8aae-b33bdacee93e,None,,Sheet1,72.00000000000001,3888.0000000000005,4.0
945773,2023-05-26,ULTRA CORAL,2020-12-07,PB200475100 - #6 BAG.xlsx,PB200475100 - #6 BAG,PB200475100 - (#6 BAG) - LD NATURAL POLY BAG 200MM X 475MM X 100UM; 1000/CARTON; $/1000 (UOM = THOU)   - (Customer Part # #6 BAG),True,PB200475100,#6 BAG - SMALL ACRO,297fae52-efae-427b-9c60-412486888359,2,"customer_partial,item_matches_description_prefix,line_requires_job_sheet",158.0,matched,,MUST BE WITHIN TOLERANCE - MUST HAVE WATER TIGHT SEALS - PLEASE CHECK SEALS FREQUENTLY.,945773,ee523197-50cb-4256-abb0-7ac2a7c2e19e,6b5d4e88-d576-4c3a-bc0a-6f181c37d654,None,,Sheet1,95.0,2565.0,6.0
54946,2020-05-14,DENOOZE,2020-06-07,PB205305100 - QPB06 - DENOOZE.xlsx,PB205305100 - QPB06 - DENOOZE,PB205305100 QPB06 - QPB06  LD NATURAL POLYBAG 205MM (W) X 305MM (L) X 100UM ;1000/CTN $/CTN (UOM = CTN)   - (Customer Part # -),True,PB205305100,QPB06 - DENOOZE,1cab2d90-f37d-4e9b-a11a-61c5af30b08b,1,"item_matches_description_prefix,qty_rolls_close_1pct,line_requires_job_sheet",158.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,944125,bf4fe094-66f5-4343-b638-cc8d0010a588,622d4cac-5e96-4bae-9b3b-5ff20e23a5d7,None,,Sheet1,125.05000000000001,3294.0,8.0
939331,2021-01-18,DAVES POPCORN,,PB20536038- UNPRINTED.xlsx,PB20536038- UNPRINTED,PB20536038 UNPRINTED - LD CLEAR POLY BAG 205MM X 360MM X 38UM ; 1000/CTN ; $/1000 (UOM = THOU),True,PB20536038 UNPRINTED,UNPRINTED,69e71bcb-fd32-411b-bb58-68b44db8cc8e,0,"customer_exact,item_matches_description_prefix,item_code_matches_description_second_token,line_requires_job_sheet",283.0,matched,,FOOD GRADE TOLERANCE +/- 3MM - NO CUTS IN PLASTIC - NO BURN UP - NO CREASING,944358,ebd0581c-c111-4384-b79a-94b3be61abd2,adc6151b-3a44-4e78-b95f-fbf521d93bf8,None,,Sheet1,56.08800000000001,3888.0000000000005,4.0
950302,2025-07-17,OCEAN PETS,,PB21042050 OUTER BAG 3.xlsx,PB21042050 OUTER BAG 3,PB125440100 - INCH 5 - L/D NATURAL POLY BAG 125MM X 440MM X 100UM(INCH 5);$/THOU (UOM = THOU),True,PB125440100,Batch No,47d30bc0-c265-4c59-98d3-4b868136b959,1,"customer_exact,item_matches_description_prefix,line_requires_job_sheet",173.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,950302,60b8cbc2-9f85-4bf9-af2a-cd2528146826,266c03a8-e2ae-45ae-a451-f2958b65354b,None,,Sheet1,55.0,2376.0,4.0
944358,2022-10-14,DAVES POPCORN,,PB23550038.xlsx,PB23550038,PB23550038 - L/D NATURAL POLY BAG 235MM X 500MM X 38UM;1000/CTN;$/THOU (UOM = THOU),True,PB23550038,Batch No,1dc148b9-4e29-44c3-a345-499fbe822e8e,1,"customer_exact,item_matches_description_prefix,line_requires_job_sheet",173.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,944358,ebd0581c-c111-4384-b79a-94b3be61abd2,67154ae4-f275-4acd-824c-f22aea97d739,None,,Sheet1,53.580000000000005,3240.0,4.0
